Data_Field,Champ_de_la_donnée,Data_Value,Valeur_de_la_donnée,Value_Description,Description_de_la_valeur
Protected Heritage Area,Aire patrimoniale protégée,Prince of Wales Fort National Historic Site of Canada,Lieu historique national du Canada du Fort-Prince-de-Galles,Prince of Wales Fort National Historic Site of Canada,Lieu historique national du Canada du Fort-Prince-de-Galles
Protected Heritage Area,Aire patrimoniale protégée,Prince of Wales Tower National Historic Site of Canada,Lieu historique national du Canada de la Tour-Prince-de-Galles,Prince of Wales Tower National Historic Site of Canada,Lieu historique national du Canada de la Tour-Prince-de-Galles
Protected Heritage Area,Aire patrimoniale protégée,Province House National Historic Site of Canada,Lieu historique national du Canada Province House,Province House National Historic Site of Canada,Lieu historique national du Canada Province House
Protected Heritage Area,Aire patrimoniale protégée,Pukaskwa National Park of Canada,Parc national du Canada Pukaskwa,Pukaskwa National Park of Canada,Parc national du Canada Pukaskwa
Protected Heritage Area,Aire patrimoniale protégée,Qausuittuq National Park of Canada,Parc national du Canada Qausuittuq,Qausuittuq National Park of Canada,Parc national du Canada Qausuittuq
Protected Heritage Area,Aire patrimoniale protégée,Québec Garrison Club National Historic Site of Canada,Lieu historique national du Canada du Cercle-de-la-Garnison-de-Québec,Québec Garrison Club National Historic Site of Canada,Lieu historique national du Canada du Cercle-de-la-Garnison-de-Québec
Protected Heritage Area,Aire patrimoniale protégée,Queenston Heights National Historic Site of Canada,Lieu historique national du Canada des Hauteurs-de-Queenston,Queenston Heights National Historic Site of Canada,Lieu historique national du Canada des Hauteurs-de-Queenston
Protected Heritage Area,Aire patrimoniale protégée,Quttinirpaaq National Park of Canada,Parc national du Canada Quttinirpaaq,Quttinirpaaq National Park of Canada,Parc national du Canada Quttinirpaaq
Protected Heritage Area,Aire patrimoniale protégée,Red Bay National Historic Site of Canada,Lieu historique national du Canada de Red Bay,Red Bay National Historic Site of Canada,Lieu historique national du Canada de Red Bay
Protected Heritage Area,Aire patrimoniale protégée,Rideau Canal National Historic Site of Canada,Lieu historique national du Canada du Canal-Rideau,Rideau Canal National Historic Site of Canada,Lieu historique national du Canada du Canal-Rideau
Protected Heritage Area,Aire patrimoniale protégée,Ridgeway Battlefield National Historic Site of Canada,Lieu historique national du Canada du Champ-de-Bataille-de-Ridgeway,Ridgeway Battlefield National Historic Site of Canada,Lieu historique national du Canada du Champ-de-Bataille-de-Ridgeway
Protected Heritage Area,Aire patrimoniale protégée,Riding Mountain National Park of Canada,Parc national du Canada du Mont-Riding,Riding Mountain National Park of Canada,Parc national du Canada du Mont-Riding
Protected Heritage Area,Aire patrimoniale protégée,Riding Mountain Park East Gate Registration Complex National Historic Site of Canada,Lieu historique national du Centre-d'Inscription-de-l'Entrée-Est-du-Parc-du-Mont-Riding,Riding Mountain Park East Gate Registration Complex National Historic Site of Canada,Lieu historique national du Centre-d'Inscription-de-l'Entrée-Est-du-Parc-du-Mont-Riding
Protected Heritage Area,Aire patrimoniale protégée,Riel House National Historic Site of Canada,Lieu historique national du Canada de la Maison-Riel,Riel House National Historic Site of Canada,Lieu historique national du Canada de la Maison-Riel
Protected Heritage Area,Aire patrimoniale protégée,Rocky Mountain House National Historic Site of Canada,Lieu historique national du Canada Rocky Mountain House,Rocky Mountain House National Historic Site of Canada,Lieu historique national du Canada Rocky Mountain House
Protected Heritage Area,Aire patrimoniale protégée,Rogers Pass National Historic Site of Canada,Lieu historique national du Canada du Col-Rogers,Rogers Pass National Historic Site of Canada,Lieu historique national du Canada du Col-Rogers
Protected Heritage Area,Aire patrimoniale protégée,Rouge National Urban Park,Parc urbain national de la Rouge,Rouge National Urban Park,Parc urbain national de la Rouge
Protected Heritage Area,Aire patrimoniale protégée,Ryan Premises National Historic Site of Canada,Lieu historique national du Canada de l'Établissement-Ryan,Ryan Premises National Historic Site of Canada,Lieu historique national du Canada de l'Établissement-Ryan
Protected Heritage Area,Aire patrimoniale protégée,S.S. Keno National Historic Site of Canada,Lieu historique national du Canada S.S. Keno,S.S. Keno National Historic Site of Canada,Lieu historique national du Canada S.S. Keno
Protected Heritage Area,Aire patrimoniale protégée,S.S. Klondike National Historic Site of Canada,Lieu historique national du Canada S.S. Klondike,S.S. Klondike National Historic Site of Canada,Lieu historique national du Canada S.S. Klondike
Protected Heritage Area,Aire patrimoniale protégée,Sable Island National Park Reserve,Réserve de parc national de l'Île-de-Sable,Sable Island National Park Reserve,Réserve de parc national de l'Île-de-Sable
Protected Heritage Area,Aire patrimoniale protégée,Saguenay-St. Lawrence Marine Park,Parc marin du Saguenay-Saint-Laurent,Saguenay-St. Lawrence Marine Park,Parc marin du Saguenay-Saint-Laurent
Protected Heritage Area,Aire patrimoniale protégée,Saint-Croix Island International Historic Site,Lieu historique international de l'Île-Saint-Croix,Saint-Croix Island International Historic Site,Lieu historique international de l'Île-Saint-Croix
Protected Heritage Area,Aire patrimoniale protégée,Sainte-Anne-de-Bellevue Canal National Historic Site of Canada,Lieu historique national du Canada du Canal-de-Sainte-Anne-de-Bellevue,Sainte-Anne-de-Bellevue Canal National Historic Site of Canada,Lieu historique national du Canada du Canal-de-Sainte-Anne-de-Bellevue
Protected Heritage Area,Aire patrimoniale protégée,Saint-Louis Forts and Châteaux National Historic Site of Canada,Lieu historique national du Canada des Forts-et-Châteaux-Saint-Louis,Saint-Louis Forts and Châteaux National Historic Site of Canada,Lieu historique national du Canada des Forts-et-Châteaux-Saint-Louis
Protected Heritage Area,Aire patrimoniale protégée,Saint-Louis Mission National Historic Site of Canada,Lieu historique national du Canada de la Mission-Saint-Louis,Saint-Louis Mission National Historic Site of Canada,Lieu historique national du Canada de la Mission-Saint-Louis
Protected Heritage Area,Aire patrimoniale protégée,Saint-Ours Canal National Historic Site of Canada,Lieu historique national du Canada du Canal-de-Saint-Ours,Saint-Ours Canal National Historic Site of Canada,Lieu historique national du Canada du Canal-de-Saint-Ours
Protected Heritage Area,Aire patrimoniale protégée,Saoyú-?ehdacho National Historic Site of Canada,Lieu historique national du Canada Saoyú-?ehdacho,Saoyú-?ehdacho National Historic Site of Canada,Lieu historique national du Canada Saoyú-?ehdacho
Protected Heritage Area,Aire patrimoniale protégée,Sault Ste. Marie Canal National Historic Site of Canada,Lieu historique national du Canada du Canal-de-Sault Ste. Marie,Sault Ste. Marie Canal National Historic Site of Canada,Lieu historique national du Canada du Canal-de-Sault Ste. Marie
Protected Heritage Area,Aire patrimoniale protégée,Shoal Tower National Historic Site of Canada,Lieu historique national du Canada de la Tour-Shoal,Shoal Tower National Historic Site of Canada,Lieu historique national du Canada de la Tour-Shoal
Protected Heritage Area,Aire patrimoniale protégée,Signal Hill National Historic Site of Canada,Lieu historique national du Canada de Signal Hill,Signal Hill National Historic Site of Canada,Lieu historique national du Canada de Signal Hill
Protected Heritage Area,Aire patrimoniale protégée,Sir George-Étienne Cartier National Historic Site of Canada,Lieu historique national du Canada de Sir-George-Étienne-Cartier,Sir George-Étienne Cartier National Historic Site of Canada,Lieu historique national du Canada de Sir-George-Étienne-Cartier
Protected Heritage Area,Aire patrimoniale protégée,Sir John Johnson House National Historic Site of Canada,Lieu historique national du Canada de la Maison-de-Sir-John-Johnson,Sir John Johnson House National Historic Site of Canada,Lieu historique national du Canada de la Maison-de-Sir-John-Johnson
Protected Heritage Area,Aire patrimoniale protégée,Sir Wilfrid Laurier National Historic Site of Canada,Lieu historique national du Canada de Sir-Wilfrid-Laurier,Sir Wilfrid Laurier National Historic Site of Canada,Lieu historique national du Canada de Sir-Wilfrid-Laurier
Protected Heritage Area,Aire patrimoniale protégée,Sirmilik National Park of Canada,Parc national du Canada Sirmilik,Sirmilik National Park of Canada,Parc national du Canada Sirmilik
Protected Heritage Area,Aire patrimoniale protégée,Skoki Ski Lodge National Historic Site of Canada,Lieu historique national du Canada de l'Auberge-de-Ski-Skoki,Skoki Ski Lodge National Historic Site of Canada,Lieu historique national du Canada de l'Auberge-de-Ski-Skoki
Protected Heritage Area,Aire patrimoniale protégée,Southwold Earthworks National Historic Site of Canada,Lieu historique national du Canada des Remblais-de-Southwold,Southwold Earthworks National Historic Site of Canada,Lieu historique national du Canada des Remblais-de-Southwold
Protected Heritage Area,Aire patrimoniale protégée,St. Andrews Blockhouse National Historic Site of Canada,Lieu historique national du Canada du Blockhaus-de-St. Andrews,St. Andrews Blockhouse National Historic Site of Canada,Lieu historique national du Canada du Blockhaus-de-St. Andrews
